Column1,Column2,Column3,Column4,Column5,Column6,Column7,,,,,,,,,,,,,
Combo box Description,Value,,,,,,,,,,,,,,,,,,
Matrix type,M210N 213-010 WVGA-FAR-90-ETH-ST,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M210N 213-110 WVGA-FAR-ETH-ST,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M210N 235-111 WVGA-DPM-LL-ETH-ES,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M210N 235-111 WVGA-DPM-LL-ETH-ES,,,,,,,,,,,,,,,,,,
From,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
To,1.0.0,1.1.0,1.1.1,1.2.0,1.3.0,1.3.1,1.4.0,1.4.1,1.4.3,1.5.0,1.5.1,1.5.2,1.5.5,1.6.2,1.6.3,1.7.0,1.8.0,1.8.1,1.8.2
*END*,,,,,,,,,,,,,,,,,,,
Matrix type,M300N 481-010 LNS-6 MLT-DPM STD,,,,,,,,,,,,,,,,,,
